path	duration	sentence	sentence_source	client_id	dialect_region	canton	zipcode	age	gender	length	trim_time	clip_is_usable	drop_reason	whisper_large_v2_transcript	is_praeteritum
datasets/STT4SG-350 v2.1/clips__train_valid-001/00fafc97-bf8b-4f35-ae97-b22e83e150f2/49c98caa668562fd88128795c5ab5d338c033a7840aa44d12a6aef97a38c5322.flac	14.582131519274377	Die Beschwerde führenden Mitarbeitenden hingegen haben den effektiv ausbezahlten Stundenlohn über Jahre hinweg akzeptiert und nicht beanstandet.	parliament	00fafc97-bf8b-4f35-ae97-b22e83e150f2	Zürich	ZH	8630.0	fourties	female	12894	1688	True	 	Beschwerden der führenden Mitarbeiter hingegen haben den effektiven ausgezahlten Stundenlohn über Jahre hinweg akzeptiert und nicht beanstandet.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/6e084270-8d26-43d9-ba69-5e8ee793ab8c/ddbe7373c636c5c6b333270a1247fe4c0e4b8394605192e7b7e2bf9fe47e1ac7.flac	4.458231292517007	Denn jede Form von Kommunikation ist subjektiv.	news	6e084270-8d26-43d9-ba69-5e8ee793ab8c	Zürich	ZG	6340.0	twenties	female	4191	267	True	 	Denn jede Form von Kommunikation ist subjektiv.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/7c882fa4-86f6-4986-b211-295a09265deb/c50bb21a1d8a300144eaa70cb85011c5746a34b1d9b3467cfd80cb6b3474f2ec.flac	5.546666666666667	S. war offenbar vor allem im Geschäft mit Devisen aktiv.	news	7c882fa4-86f6-4986-b211-295a09265deb	Zürich	AG	5504.0	twenties	female	4976	571	True	 	Es war offenbar vor allem im Geschäft mit den Weissen aktiv.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/2346f20d-b2bc-4712-8c83-5e376731a1c9/432daa8f336cb8b9b39a136ca8497708956610f37ec59df15cd754ec09f5a5e2.flac	5.205328798185941	Bereits mit 16 Jahren wog sie 89 Kilo.	news	2346f20d-b2bc-4712-8c83-5e376731a1c9	Zürich	ZH	8102.0	fifties	male	4634	571	True	 	Schon mit 16 war sie 89 Kilo schwer.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/2346f20d-b2bc-4712-8c83-5e376731a1c9/a440e3ff5e36c3af9edebf63a4107e2ee3e35a2d8cbcd1a54534231628d4a6b6.flac	4.949342403628118	Es hätte nicht besser laufen können.	news	2346f20d-b2bc-4712-8c83-5e376731a1c9	Zürich	ZH	8102.0	fifties	male	3423	1526	True	 	Es hätte nicht besser laufen können.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/7c882fa4-86f6-4986-b211-295a09265deb/4257aa3a88c735b009ce12a9d1457ed4cc74b9519c82b5c85ddeca64e195e09f.flac	4.181337868480726	Das Thema fasziniert mich seit jungen Jahren.	news	7c882fa4-86f6-4986-b211-295a09265deb	Zürich	AG	5504.0	twenties	female	3798	383	True	 	Das Thema fasziniert mich seit jungen Jahren.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/2346f20d-b2bc-4712-8c83-5e376731a1c9/9eba1657b38d1f132ee87a001247f428994f12884e13c00e0264fbe0db4c1c75.flac	5.205328798185941	Da komme wohl noch das eine oder andere ans Licht.	news	2346f20d-b2bc-4712-8c83-5e376731a1c9	Zürich	ZH	8102.0	fifties	male	4037	1168	True	 	Doch Hunde wollen das eine oder andere als Licht.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/c81c27c4-3e50-4b38-827e-2fc2bf899dc7/91b89eab669ff750dd745bd7aedcc678f653cd9881043d8e0beadef428d5c2f1.flac	3.4133333333333336	Am besten sollten diese gleich wieder gelöscht werden.	news	c81c27c4-3e50-4b38-827e-2fc2bf899dc7	Zürich	ZH	8400.0	twenties	male	3784	0	True	 	Am besten sollten diese gleich wieder gelöscht werden.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/6858a37b-edd0-4fdf-871c-96d3b1bd3e21/5a103c903c07aec156240699462eba0a3d8898467852a59f9fbd6013c84146b2.flac	5.888004535147393	So wurden etwa gewisse Bestandteile durch Titan ersetzt.	news	6858a37b-edd0-4fdf-871c-96d3b1bd3e21	Zürich	ZH	8704.0	fourties	male	5167	721	True	 	So sind etwa gewisse Bestandteile durch Titan ersetzt worden.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/e6a8968c-d53c-4f76-80b5-15923136987b/5b09b2894c6d557ab199071ac6377360d41afa019f1ffb216c785b6c72276c4b.flac	6.222947845804988	Am Dienstagabend gewann der FC Barcelona gegen Dynamo Kiew 4:0.	news	e6a8968c-d53c-4f76-80b5-15923136987b	Zürich	ZH	8001.0	fourties	female	5641	582	True	 	Am Dienstagabend gewinnt der FC Barcelona gegen Dynamo Kiew 4 zu 0.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/6e084270-8d26-43d9-ba69-5e8ee793ab8c/dcceb8b56667fdcac3572d497bc1f57fa029733aa516a5fe68593bd7324f869d.flac	4.829750566893424	Zuletzt in Katalonien hatte nur der 20. Platz resultiert.	news	6e084270-8d26-43d9-ba69-5e8ee793ab8c	Zürich	ZG	6340.0	twenties	female	4928	0	True	 	Das letzte in Katalonien hat nur den 20. Platz resultiert.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/44a2712b-f350-40e6-a425-6bda969a5ddc/6dc11367723020784390f77a208c6e8f016767b8f380b1b198bc0c0c5d3db9f4.flac	8.191995464852608	Zweitens dürfe man aber auch das Argument des Geldes nicht vernachlässigen.	news	44a2712b-f350-40e6-a425-6bda969a5ddc	Zürich	ZH	8400.0	twenties	male	7470	722	True	 	Zweitens dürfen wir aber auch das Argument vom Geld nicht vernachlässigen.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/99c4f9b3-262d-4050-9973-a4abb8046872/eadd7b8f11096e3cd8435bfcfee5f474112a9dd93ae24c9bc1fcb56ea737ce0d.flac	3.071995464852608	Die Leute wollten sich eben nicht einschränken lassen.	news	99c4f9b3-262d-4050-9973-a4abb8046872	Zürich	ZH	8405.0	twenties	male	2829	243	True	 	Die Leute wollen sich eben nicht einschenken lassen.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/3ce6b6dc-6c03-48c1-83bd-024bbecfaf9a/6cf18ad0ee1e38aeef8cdac130d3248ab8392b2a531a53b907dbedea70bcce40.flac	7.082675736961451	Man befürchtete die wirtschaftliche Spaltung des Kontinents.	news	3ce6b6dc-6c03-48c1-83bd-024bbecfaf9a	Zürich	ZH	8000.0	fifties	female	5249	1834	True	 	Man hat die wirtschaftliche Spaltung des Kontinents befürchtet.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/e6a8968c-d53c-4f76-80b5-15923136987b/82ee86bffb141a87593459a44dcedad34144b37fbeecdbbf852363884a6591b6.flac	3.436553287981859	Wie erklären Sie sich die jüngsten Erfolge?	news	e6a8968c-d53c-4f76-80b5-15923136987b	Zürich	ZH	8001.0	fourties	female	3324	113	True	 	Wie erklären Sie sich die jüngsten Erfolge?	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/b812f6ab-6de0-49f3-a587-f691df5b7b1a/470c4b6e267e2bdfd1d29086872c72de6f2a2489af95cc7aecc0956fb4863d33.flac	4.693333333333333	Dies wollte der junge Mann nicht auf sich sitzen lassen.	news	b812f6ab-6de0-49f3-a587-f691df5b7b1a	Zürich	AG	5000.0	twenties	male	3628	1065	True	 	Das wollte der junge Mann nicht auf sich sitzen lassen.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/f877ee50-af2b-423b-bdda-0cc406032c45/5c856445f94d0a00c19dafe25b44b9e317fafc4492f362f777da2c33ca0f4c54.flac	5.717324263038549	Aus Afrika und Asien kommen Flüchtlinge über die Türkei nach Griechenland.	news	f877ee50-af2b-423b-bdda-0cc406032c45	Zürich	ZH	8405.0	fourties	female	5457	260	True	 	Aus Afrika und Asien kommen Flüchtlinge über die Türkei nach Griechenland.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/7c882fa4-86f6-4986-b211-295a09265deb/41e74d5e339ed33dd7ce4eb2efb37413a615f23aa03d12513e03262e13191c75.flac	4.4373242630385485	Es wird im Einzelfall sicherlich Ausnahmen geben müssen.	news	7c882fa4-86f6-4986-b211-295a09265deb	Zürich	AG	5504.0	twenties	female	4279	158	True	 	Es wird im Einzelfall sicherlich Ausnahmen geben müssen.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/e4d6b98b-b3f3-4e0f-9954-4abb7de23540/c7fd7473a5d3a1febc87a3cb8bfb78b63b2598ea51e5e0c4af814a86cb64b7b0.flac	6.997324263038549	Die ganze Europa-Frage explodiert wieder in der Konservativen Partei.	news	e4d6b98b-b3f3-4e0f-9954-4abb7de23540	Zürich	ZH	8050.0	sixties	male	6409	588	True	 	Die ganze Europafrage explodiert wieder in der konservativen Partei.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/2be89650-fc8e-429a-a8e3-2e92b3538639/e445e7aa71d35d633f41604735820883930f6b8b0aecd044ad0419367da454e2.flac	5.6656689342403626	Bei einer Not-Operation wurden seine Beine stabilisiert.	news	2be89650-fc8e-429a-a8e3-2e92b3538639	Zürich	ZH	8055.0	sixties	female	5163	503	True	 	Bei einer Notoperation sind seine Beine stabilisiert worden.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/6427c123-f701-438f-8d2b-e97ced2fc970/89038830ee5483ab4506a38e0ea6a65d7f6160870e451ef87dfd9069d7242df2.flac	3.84	Das Geschlecht steht bei mir im Hintergrund.	news	6427c123-f701-438f-8d2b-e97ced2fc970	Zürich	ZH	8302.0	fifties	male	3030	810	True	 	Das Geschlecht steht bei mir im Hintergrund.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/99c4f9b3-262d-4050-9973-a4abb8046872/b6e9817bf03d08eb046adcd63f8870b41dd0246e6be154b26c0e38465880c48b.flac	4.4373242630385485	Eine Woche lang musste Patrick im Spital bleiben.	news	99c4f9b3-262d-4050-9973-a4abb8046872	Zürich	ZH	8405.0	twenties	male	3576	861	True	 	Eine Woche lang musste Patrick im Spital bleiben.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/6427c123-f701-438f-8d2b-e97ced2fc970/99390a936f5af4d6406d927f779b721009046386a80d503094304e5a73872454.flac	4.266666666666667	Unser Sohn ist vorher nie negativ aufgefallen.	news	6427c123-f701-438f-8d2b-e97ced2fc970	Zürich	ZH	8302.0	fifties	male	3542	725	True	 	Unser Sohn ist vorher nie negativ aufgefallen.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/6e084270-8d26-43d9-ba69-5e8ee793ab8c/e5daf17629c4d7bd42c2920dd759c01bcf6e09d6c3c26e43b5e111389fb3a312.flac	5.38702947845805	95 Prozent dieser Drogen wurden innerhalb eines Jahres eingeführt.	news	6e084270-8d26-43d9-ba69-5e8ee793ab8c	Zürich	ZG	6340.0	twenties	female	4873	514	True	 	95% dieser Drogen wurden innerhalb von einem Jahr eingeführt.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/4239d4ea-81db-4fc2-b8eb-3f07810da457/5ce28d4fe558860b33a7302be41904dc9d995a2cb7cc35aee20c851b00f7365e.flac	4.922630385487528	Doch ihm dürfte der angestrebte Kurswechsel unangenehm sein.	news	4239d4ea-81db-4fc2-b8eb-3f07810da457	Zürich	ZH	8704.0	twenties	female	4839	84	True	 	Doch immer dürfte der angestrebte Grosswasser unangenehm sein.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/2346f20d-b2bc-4712-8c83-5e376731a1c9/a9dd0f728e66a6360d03f68c12a0989380925a3d1c02d0000f6b4249f5b1495e.flac	5.973333333333334	Dieses Vertrauen in die eigene Stärke macht den Unterschied aus.	news	2346f20d-b2bc-4712-8c83-5e376731a1c9	Zürich	ZH	8102.0	fifties	male	5354	619	True	 	Das Vertrauen in die eigene Stärke macht den grossen Unterschied aus.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/865f69a7-acb2-4604-a356-cdad6517606c/f53e401d3ca331f01fd51c11477c25ff551a6f6518db0b97d251de479094ec40.flac	3.4133333333333336	Erst das Gesicht löst Scham aus.	news	865f69a7-acb2-4604-a356-cdad6517606c	Zürich	ZH	8152.0	thirties	male	2672	741	True	 	Erstes Gesicht löst Schabus.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/c81c27c4-3e50-4b38-827e-2fc2bf899dc7/cc511293ac5996b07a8975404c8971afcead4f5fc324bd6a838d5af8eb81d3c4.flac	4.351995464852608	Kurz zusammengefasst sei das purer Sexismus.	news	c81c27c4-3e50-4b38-827e-2fc2bf899dc7	Zürich	ZH	8400.0	twenties	male	3730	622	True	 	Kurz zusammengefasst sage ich, das ist puberer Sexismus.	False
