path	duration	sentence	sentence_source	client_id	dialect_region	canton	zipcode	age	gender	length	trim_time	clip_is_usable	drop_reason	whisper_large_v2_transcript	is_praeteritum
datasets/STT4SG-350 v2.1/clips__train_valid-001/0eb82a8e-74e1-4b85-8f06-7983eeafaaab/55c71b7950c5893264bd5948056207636377bbd787d6989d699fe1d2939cfdb6.flac	3.436553287981859	Die Belegschaft geht für einen Chefarzt auf die Strasse.	news	0eb82a8e-74e1-4b85-8f06-7983eeafaaab	Wallis	VS	3900.0	thirties	female	3699	0	True	 	Die Belegschaft geht für den Chefarzt auf die Strasse.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/a0e1d925-5bcf-44e5-9c8d-eec4533e6172/d672c0bdf11fc00a762ca2bcd594a43c96cefdf30af584dd0c39f1a9371a53de.flac	4.863990929705215	Der Bildschirm verfügt laut Nintendo über HD-Auflösung.	news	a0e1d925-5bcf-44e5-9c8d-eec4533e6172	Wallis	VS	3914.0	twenties	female	4515	349	True	 	Der Bildschirm verfügt über HD-Auflesungen.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/d57174ae-4124-4c47-8593-547c02af4ca8/c4da713a337dc230823dc565bea46253e75afa31aa5632fa3756478470e802fc.flac	4.778662131519274	Sie nahmen den mutmasslichen Bankräuber fest.	news	d57174ae-4124-4c47-8593-547c02af4ca8	Wallis	VS	3938.0	fourties	male	4003	776	True	 	Sie haben du mutmasslich Bankerreiber festgenommen.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/c34dabe8-ae40-486d-8271-ad483f9b110a/e714f2736e3d40b183b888f273d48a5a0a1ce1280b08ea1a10c5c91d7bc6ea31.flac	4.010657596371882	An diesem Freitag soll das Urteil fallen.	news	c34dabe8-ae40-486d-8271-ad483f9b110a	Wallis	VS	3930.0	sixties	male	3064	947	True	 	In diesem Freitag sollte es urteilsvoll sein.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/0a9febf9-5baf-4bdd-8119-04720899d311/83881d5e25ecdec80ada326c801181b72f31b564a58e4a5c6f4b1889fb2bd31e.flac	5.572789115646258	Zuvor werde man alle anderen denkbaren Massnahmen ausschöpfen.	news	0a9febf9-5baf-4bdd-8119-04720899d311	Wallis	VS	3930.0	twenties	female	5406	167	True	 	Vorher fertigen wir alle anderen möglichen Massnahmen ins Schilfen.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/6b5bac94-1f47-4248-a0b7-0278c511de03/3f1921105d8bea92766609264df22e444e05da786e3bbaa6a4d7e8aaa4057019.flac	2.901337868480726	Da bleibst du lieber zu Hause.	news	6b5bac94-1f47-4248-a0b7-0278c511de03	Wallis	VS	3900.0	fourties	female	2539	362	True	 	Da bleibst du lieber daheim.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/7b009b41-3f12-4757-944d-a12e4d33fba1/ae337cb8b13b18ed56b16393da414eb34ce9a94ef429d66951fdedb30515c2b0.flac	6.826666666666667	Und er unterstützte Simon bei dessen Songs deutlich öfter als umgekehrt.	news	7b009b41-3f12-4757-944d-a12e4d33fba1	Wallis	VS	3952.0	twenties	female	7215	0	True	 	Und er hat Simon bei dieser Saison deutlich mehr als umgekehrt unterstützt.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/357c116f-af09-4111-a329-19931ae73559/470fa777abbe521d6778388ab06be001382c01640831d0d8bd56721b467ba5bc.flac	4.010657596371882	Das Flugzeug blieb aber beschädigt liegen.	news	357c116f-af09-4111-a329-19931ae73559	Wallis	VS	3902.0	fourties	female	3477	534	True	 	Das Flugzeug ist aber beschädigt liegen geblieben.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/f40066d9-db50-4c07-bf5e-d564cc9de572/c239a8a891e5e9ec30a71193981deb0b45a4085f045fc95def9dee44b5db7fd1.flac	3.4133333333333336	Heute leben dort wieder ein paar Dutzend Tiere.	news	f40066d9-db50-4c07-bf5e-d564cc9de572	Wallis	VS	3903.0	twenties	female	3457	0	True	 	Und du lernst wieder ein paar Dutzend Dinge.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/02aabf72-6c13-42aa-a20e-efc4b0650657/68acab26327d61d8fe0c68fd752a285f50892970f5ed6ee8d773f47b88e506de.flac	6.780226757369615	Mit etwas Glück schafften sie ein 2:2 unentschieden.	news	02aabf72-6c13-42aa-a20e-efc4b0650657	Wallis	VS	3904.0	thirties	female	6460	320	True	 	Mit etwas Glück haben wir das zweite Zwei-Unten-Tier geschafft.	True
