path	sentence	DAT	DIT	word_differences
300bb931-79ae-40ec-b989-3efd5e83f4c2/83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac	Insgesamt habe ich einige Hunderttausend Franken verloren.	Insgesamt habe ich einige 100.000 Franken verloren.	Insgesamt habe ich einige hundert Dusik vor und verloren.	[4]: 100.000 vs hundert | [5]: franken vs dusik | [6]: verloren. vs vor | Length mismatch: DAT(7) vs DIT(9)
6e084270-8d26-43d9-ba69-5e8ee793ab8c/dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac	Welche Rolle hatte Rosenberg während des Holocaust inne?	Wieder Rowle hätt deriséebertenten Holocaust evening geschnitten. Mittel .	veli rolle heißt der ruseberg weil Nutholaka aus ...	[0]: wieder vs veli | [1]: rowle vs rolle | [2]: hätt vs heißt | [3]: deriséebertenten vs der | [4]: holocaust vs ruseberg | [5]: evening vs weil | [6]: geschnitten. vs nutholaka | [7]: mittel vs aus | [8]: . vs ...
6858a37b-edd0-4fdf-871c-96d3b1bd3e21/82f96cf51a7b4d1239325b81c305870fd7e997b57e21c307560debad119e0417.flac	Das ist angesichts aller schlechten Optionen die beste.	Das ist angesichts von allen schlechten Optionen die Best.	Das ist angesichts vor allen Schlachten Optionen, die beste.	[3]: von vs vor | [5]: schlechten vs schlachten | [6]: optionen vs optionen, | [8]: best. vs beste.
c4c03e6f-50a2-4d24-ae88-caf3032798fa/a217c094093de96414e95c0787e016038210eacf51427d18bdbde8abef26ae5b.flac	Ebenfalls keinen Sieg durfte die AC Milan feiern.	Aber falls kann Sie, hat AC Milan der für vier.	Ap Give her was Grand commanders yard bzw zuerst.	[0]: aber vs ap | [1]: falls vs give | [2]: kann vs her | [3]: sie, vs was | [4]: hat vs grand | [5]: ac vs commanders | [6]: milan vs yard | [7]: der vs bzw | [8]: für vs zuerst. | Length mismatch: DAT(10) vs DIT(9)
f877ee50-af2b-423b-bdda-0cc406032c45/4e5d7695cee366d300d25617356c3d900b15e2736550d90b7e7e98728f9d8185.flac	Viele Fussballfans haben die Alte Reithalle unterstützt.	Viele Fußballfans handt die All 3 Taller unterstützt.	Viele Fußballfans hängt die Alldri-Taller unterstützt.	[2]: handt vs hängt | [4]: all vs alldri-taller | [5]: 3 vs unterstützt. | Length mismatch: DAT(8) vs DIT(6)
2346f20d-b2bc-4712-8c83-5e376731a1c9/9ee49fd908ebb0d5b0a9a67fb858a61419d3ab800f64c9a84e7c8d53130e5469.flac	Die riesige Insel ist von enormer strategischer Bedeutung.	Die riesige Insel ist von enormer strategischer Betüttik.	Die riesige Insel ist vor enormer strategischer Petutik.	[4]: von vs vor | [7]: betüttik. vs petutik.
f877ee50-af2b-423b-bdda-0cc406032c45/00f63701002cf558863fbc154ffe2ff3f8f122c539db4b39028a0e0b8a8d3925.flac	Mit dem Rollator läuft man nicht weit.	Mit dem der Flache kann man zu einem Zalog nicht weiten.	Mit dem Rollato läuft man jetzt wie tun wir.	[2]: der vs rollato | [3]: flache vs läuft | [4]: kann vs man | [5]: man vs jetzt | [6]: zu vs wie | [7]: einem vs tun | [8]: zalog vs wir. | Length mismatch: DAT(11) vs DIT(9)
f877ee50-af2b-423b-bdda-0cc406032c45/63d6d893ce9bdb45890219ae0b5196308848694696613c2b56214288990d487b.flac	Gemäss jetziger Kenntnis wurde niemand verletzt.	Die Kanten des Kanten ist nicht verletzt worden.	Gemäß jetzt die Gerät Kanten ist, ich nehme für lebst wurde.	[0]: die vs gemäß | [1]: kanten vs jetzt | [2]: des vs die | [3]: kanten vs gerät | [4]: ist vs kanten | [5]: nicht vs ist, | [6]: verletzt vs ich | [7]: worden. vs nehme | Length mismatch: DAT(8) vs DIT(11)
c4c03e6f-50a2-4d24-ae88-caf3032798fa/698b185f9807065c8bff350a63f90effcb78a4353b7437f3bc7f418ceb6e16d3.flac	Oder es wird zum ersten Mal eine Latina First Lady.	Oder es wird zum ersten Mal Latina First Lady.	Oder es wird zum ersten Mal Latina First Lady.	Identical
865f69a7-acb2-4604-a356-cdad6517606c/f69efcd29f4015d440c5923f425edd26bc2ec9d069bc18e187517050965acbbb.flac	Vor allem ältere Sinn-Fein-Mitglieder sind noch immer gegen Homo-Ehe und Abtreibung.	Roll auf L3 sind bei wieder an de Stacy ein ein.	Call of ElderE was damit mit dem Klatorkleid des Kurps auf�üht Und	[0]: roll vs call | [1]: auf vs of | [2]: l3 vs eldere | [3]: sind vs was | [4]: bei vs damit | [5]: wieder vs mit | [6]: an vs dem | [7]: de vs klatorkleid | [8]: stacy vs des | [9]: ein vs kurps | [10]: ein. vs auf�üht | Length mismatch: DAT(11) vs DIT(12)
