path	duration	sentence	sentence_source	client_id	dialect_region	canton	zipcode	age	gender	transcript
datasets/STT4SG-350 v2.1/clips__train_valid-001/300bb931-79ae-40ec-b989-3efd5e83f4c2/83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac	4.778662131519274	Insgesamt habe ich einige Hunderttausend Franken verloren.	news	300bb931-79ae-40ec-b989-3efd5e83f4c2	Zürich	ZH	8408.0	fourties	male	Insgesamt habe ich einige Hunderttausend Franken verloren.
datasets/STT4SG-350 v2.1/clips__train_valid-001/6e084270-8d26-43d9-ba69-5e8ee793ab8c/dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac	5.294149659863946	Welche Rolle hatte Rosenberg während des Holocaust inne?	news	6e084270-8d26-43d9-ba69-5e8ee793ab8c	Zürich	ZG	6340.0	twenties	female	Welche Rolle hätte Roseberg während des Holocaustes inne gehabt?
datasets/STT4SG-350 v2.1/clips__train_valid-001/6858a37b-edd0-4fdf-871c-96d3b1bd3e21/82f96cf51a7b4d1239325b81c305870fd7e997b57e21c307560debad119e0417.flac	5.802675736961452	Das ist angesichts aller schlechten Optionen die beste.	news	6858a37b-edd0-4fdf-871c-96d3b1bd3e21	Zürich	ZH	8704.0	fourties	male	Das ist angesichts aller schlechter Optionen die beste.
datasets/STT4SG-350 v2.1/clips__train_valid-001/c4c03e6f-50a2-4d24-ae88-caf3032798fa/a217c094093de96414e95c0787e016038210eacf51427d18bdbde8abef26ae5b.flac	5.973333333333334	Ebenfalls keinen Sieg durfte die AC Milan feiern.	news	c4c03e6f-50a2-4d24-ae88-caf3032798fa	Zürich	AG	4663.0	fourties	male	Ebenfalls kein Sieg hat AC Milan feiern dürfen.
datasets/STT4SG-350 v2.1/clips__train_valid-001/f877ee50-af2b-423b-bdda-0cc406032c45/4e5d7695cee366d300d25617356c3d900b15e2736550d90b7e7e98728f9d8185.flac	4.778662131519274	Viele Fussballfans haben die Alte Reithalle unterstützt.	parliament	f877ee50-af2b-423b-bdda-0cc406032c45	Zürich	ZH	8405.0	fourties	female	Viele Fussballfans haben die Alt-Rheintale unterstützt.
datasets/STT4SG-350 v2.1/clips__train_valid-001/2346f20d-b2bc-4712-8c83-5e376731a1c9/9ee49fd908ebb0d5b0a9a67fb858a61419d3ab800f64c9a84e7c8d53130e5469.flac	5.717324263038549	Die riesige Insel ist von enormer strategischer Bedeutung.	news	2346f20d-b2bc-4712-8c83-5e376731a1c9	Zürich	ZH	8102.0	fifties	male	Die riesige Insel ist von enormer strategischer Bedeutung.
datasets/STT4SG-350 v2.1/clips__train_valid-001/f877ee50-af2b-423b-bdda-0cc406032c45/00f63701002cf558863fbc154ffe2ff3f8f122c539db4b39028a0e0b8a8d3925.flac	3.754671201814059	Mit dem Rollator läuft man nicht weit.	news	f877ee50-af2b-423b-bdda-0cc406032c45	Zürich	ZH	8405.0	fourties	female	Mit dem Rollator läuft man nicht weit herum.
datasets/STT4SG-350 v2.1/clips__train_valid-001/f877ee50-af2b-423b-bdda-0cc406032c45/63d6d893ce9bdb45890219ae0b5196308848694696613c2b56214288990d487b.flac	4.778662131519274	Gemäss jetziger Kenntnis wurde niemand verletzt.	news	f877ee50-af2b-423b-bdda-0cc406032c45	Zürich	ZH	8405.0	fourties	female	Gemäss jetziger Erkenntnisse ist niemand verletzt worden.
datasets/STT4SG-350 v2.1/clips__train_valid-001/c4c03e6f-50a2-4d24-ae88-caf3032798fa/698b185f9807065c8bff350a63f90effcb78a4353b7437f3bc7f418ceb6e16d3.flac	5.717324263038549	Oder es wird zum ersten Mal eine Latina First Lady.	news	c4c03e6f-50a2-4d24-ae88-caf3032798fa	Zürich	AG	4663.0	fourties	male	Oder es wird zum ersten Mal eine Latina First Lady.
datasets/STT4SG-350 v2.1/clips__train_valid-001/865f69a7-acb2-4604-a356-cdad6517606c/f69efcd29f4015d440c5923f425edd26bc2ec9d069bc18e187517050965acbbb.flac	7.338662131519274	Vor allem ältere Sinn-Fein-Mitglieder sind noch immer gegen Homo-Ehe und Abtreibung.	news	865f69a7-acb2-4604-a356-cdad6517606c	Zürich	ZH	8152.0	thirties	male	RORM L3 sind fein mit Glitzer-Symbolen über Gagaboo wie hier auf dem Zwillen.
