clip_id	clip_path	sentence	clip_created_at	clip_is_valid	sentence_id	sentence_source	client_id	zipcode	canton	user_mean_clip_quality	clip_n_votes_correct	clip_n_votes_false	clip_n_times_reported	sentence_n_times_reported	age	gender	duration	user_sentences
120520	9164bc97-62ef-40fa-bfe6-7e9b931135e9/2b0dd5c41fca407b05759f6d81b7ff3269073469c1e75439e5e402abbb1fe4a3.mp3	Die Porno-Queen war einverstanden und packte die Sache an.	2021-08-23 14:39:49		2b0dd5c41fca407b05759f6d81b7ff3269073469c1e75439e5e402abbb1fe4a3	tamedia_sentences	9164bc97-62ef-40fa-bfe6-7e9b931135e9	6416.0	SZ	0.5286	0	0	0	0	sixties	female	6.552	2113
17241	51553585-f437-4b35-94cc-98ed1cfac29b/059d4ecc373038ea9d5887078533ba4e2b2cefff87691cb78de17860ea5d1123.mp3	Auch die Schwester brachte von San Sebastian eine Medaille nach Hause.	2021-06-14 06:04:33		059d4ecc373038ea9d5887078533ba4e2b2cefff87691cb78de17860ea5d1123	tamedia_sentences	51553585-f437-4b35-94cc-98ed1cfac29b			0.3333	0	0	0	0			5.508	5
1070	8702301c-32fe-4703-a091-4153422eee4f/0070ceed21fbd8ab567d981f40037a836e8c00118aec0355511f3b7fc84a2f10.mp3	Doch das passierte längst nicht immer.	2021-05-25 15:34:25	False	0070ceed21fbd8ab567d981f40037a836e8c00118aec0355511f3b7fc84a2f10	tamedia_sentences	8702301c-32fe-4703-a091-4153422eee4f	8038.0	ZH	0.0196	0	2	0	0	twenties	male	1.044	25
42762	ab22327e-c845-4643-9ce7-4001442dc837/0535544ed1e4e46218f509b3c29e9043a378e0612ec7dfbaf555c3182308a617.mp3	Das Familienunternehmen beschäftigte zu dieser Zeit sieben Mitarbeiter.	2021-07-15 15:09:54	False	0535544ed1e4e46218f509b3c29e9043a378e0612ec7dfbaf555c3182308a617	cv_sentences	ab22327e-c845-4643-9ce7-4001442dc837	8620.0	ZH	0.8383	1	2	0	0			6.516	385
12562	db5c532b-e5c8-4962-9727-ca5f7d41882e/048c3fd16e555c79d75f961870aedb5ff88c652a728a44da27cf5d1226397e91.mp3	Ich aber bin in Zürich geboren und aufgewachsen.	2021-06-05 06:04:16		048c3fd16e555c79d75f961870aedb5ff88c652a728a44da27cf5d1226397e91	tamedia_sentences	db5c532b-e5c8-4962-9727-ca5f7d41882e	8134.0	ZH	0.5625	0	0	0	0	fourties	male	4.968	20
18572	bf202afa-228f-4d46-be54-15921c251ceb/070e0a78ac49b22e8300dc448bba101a9267f17647a3276800f892be0666eb08.mp3	Und dann auch eine Familie zu gründen?	2021-06-15 17:49:42	False	070e0a78ac49b22e8300dc448bba101a9267f17647a3276800f892be0666eb08	tamedia_sentences	bf202afa-228f-4d46-be54-15921c251ceb			0.5	0	2	0	0			4.32	5
132623	9164bc97-62ef-40fa-bfe6-7e9b931135e9/0fc1352558889ddb558a7ea7bc21955dbc6f655c2e1c8676fe95846ad79a0923.mp3	Zwei der Tore erzielte er in Unterzahl.	2021-08-26 08:19:54		0fc1352558889ddb558a7ea7bc21955dbc6f655c2e1c8676fe95846ad79a0923	cv_sentences	9164bc97-62ef-40fa-bfe6-7e9b931135e9	6416.0	SZ	0.5286	0	0	0	0	sixties	female	4.608	2113
102477	9164bc97-62ef-40fa-bfe6-7e9b931135e9/245f39c0ddde28736abf15815328a3fc77d73f03c65d4949701185919c0fca47.mp3	Und im Rennen war er der absolute Diktator.	2021-08-17 13:28:38		245f39c0ddde28736abf15815328a3fc77d73f03c65d4949701185919c0fca47	tamedia_sentences	9164bc97-62ef-40fa-bfe6-7e9b931135e9	6416.0	SZ	0.5286	0	0	0	0	sixties	female	5.436	2113
27308	5ca94df2-e579-4b22-a414-19cd65edf9cc/0a1ceb671b91dfff6a68a8516469db5064a146cd4302bb4a90d389f55dccda53.mp3	Dort sind seit Monaten Angehörige der Verschollenen untergebracht.	2021-07-05 09:42:36	False	0a1ceb671b91dfff6a68a8516469db5064a146cd4302bb4a90d389f55dccda53	tamedia_sentences	5ca94df2-e579-4b22-a414-19cd65edf9cc	3012.0	BE	0.8636	0	2	0	0			7.704	30
3359	ec08060d-f6d5-4e77-b2ab-0e84e9b84e3a/0148b453a68d84405c6a2fcc01038a11c5e28b063caf1e4cec8c2a405e1a818f.mp3	Sie machen 12,5 Prozent aus.	2021-05-26 13:29:40	False	0148b453a68d84405c6a2fcc01038a11c5e28b063caf1e4cec8c2a405e1a818f	tamedia_sentences	ec08060d-f6d5-4e77-b2ab-0e84e9b84e3a				0	0	0	0			1.044	3
