pair	TF-IDF	peak region	count	is_valid
alle → auch	0.025015453230637100	Bern	10/10	True
sich → schicht	0.023469521769032200	Wallis	35/35	True
sie → euch	0.02342705032639820	Bern	21/27	True
rund → gut	0.02305109104235590	Basel	7/7	True
abend → oben	0.02293670255046170	Basel	17/18	True
nichts → nix	0.022675324994805100	Wallis	30/30	True
bekommt → kriegt	0.02256005305076440	Graubünden	14/15	True
ihnen → euch	0.022502800091588600	Bern	42/47	True
immer → albig	0.021154471757897400	Graubünden	5/5	True
hand → hang	0.021146201071945700	Bern	6/6	True
all → auch	0.021146201071945700	Bern	6/6	True
habe → heikt	0.02101333349944360	Innerschweiz	5/5	True
sich → geschichte	0.020322068750526600	Wallis	19/19	True
bekommen → kriegen	0.01982094524670180	Graubünden	9/10	True
kinder → king	0.019765205200986600	Bern	5/5	True
ihren → euren	0.01968159771280310	Bern	11/12	True
gedacht → gedeicht	0.019436682323076500	Wallis	16/16	True
laut → leute	0.019436682323076500	Wallis	16/16	True
nur → gerade	0.0193591138186633	Ostschweiz	7/7	True
ziehen → zeichnen	0.01934546763032640	Graubünden	4/4	True
darauf → dann	0.01934546763032640	Graubünden	4/4	True
ziehen → suchen	0.01934546763032640	Graubünden	4/4	True
sei → anscheinend	0.01934546763032640	Graubünden	4/4	False
er → heiger	0.01921639867310710	Innerschweiz	4/4	False
nicht → nöd	0.019196807610571900	Zürich	9/17	True
den → der	0.019191362437452400	Graubünden	393/2465	True
sie → schon	0.01910417464060450	Wallis	15/15	True
auch → eure	0.018963388882013500	Innerschweiz	8/46	True
werden → würden	0.018958389454195100	Ostschweiz	16/18	True
sie → ski	0.018937485116236000	Wallis	45/46	True
seine → schiene	0.018748717784747500	Wallis	14/14	True
dies → das	0.01873874513056400	Innerschweiz	349/2064	True
eifersucht → einversucht	0.018736302210295400	Zürich	4/4	True
rund → knapp	0.018736302210295400	Zürich	4/4	True
wurden → wird	0.01867222209396800	Basel	4/4	True
er → ah	0.01867222209396800	Basel	4/4	True
prüfung → briefung	0.01867222209396800	Basel	4/4	True
verstehe → verstand	0.01867222209396800	Basel	4/4	True
vermieden → vermeiden	0.01867222209396800	Basel	4/4	True
prägte → geprägt	0.01867222209396800	Basel	4/4	True
gerät → grad	0.01867222209396800	Basel	4/4	True
auch → oder	0.018519254678733700	Bern	9/10	True
diese → die	0.01845855726834150	Innerschweiz	315/1972	True
er → a	0.018426377121056400	Basel	8/9	True
seiner → verschiedener	0.018366907516411600	Wallis	13/13	True
biel → bio	0.018075002855115000	Bern	4/4	True
einer → haben	0.018075002855115000	Bern	4/4	False
gefunden → gefangen	0.018075002855115000	Bern	4/4	True
fall → v	0.018075002855115000	Bern	4/4	True
die → pro	0.018075002855115000	Bern	4/4	True
nun → jetzt	0.017954958749167400	Innerschweiz	262/1720	True
der → eines	0.017954521010520300	Wallis	12/12	True
hatte → hat	0.01771187600480470	Zürich	283/1657	True
strafe → strophe	0.017627368675954700	Basel	7/8	True
lösen → lesen	0.017506231356503400	Wallis	11/11	True
aus → unser	0.017506231356503400	Wallis	11/11	True
der → vor	0.0174245043741745	Graubünden	42/92	True
wurde → worden	0.01741380562036990	Graubünden	206/1073	True
lassen → lasse	0.017284653892736800	Bern	14/17	True
partei → partie	0.017191825129155000	Innerschweiz	6/21	True
zahlen → zählen	0.01714797906030720	Ostschweiz	5/5	True
das → hier	0.01714797906030720	Ostschweiz	5/5	True
fahrzeugs → fahrzeug	0.01714797906030720	Ostschweiz	5/5	True
wurden → worden	0.01708800583065810	Graubünden	183/1171	True
die → diese	0.01704768349468730	Innerschweiz	188/1268	True
muss → müsse	0.017015185598960000	Wallis	10/10	True
gehören → kehren	0.017015185598960000	Wallis	10/10	True
diese → tische	0.017015185598960000	Wallis	10/10	True
gute → guter	0.017013255682329700	Graubünden	3/3	True
wehrte → wehrt	0.017013255682329700	Graubünden	3/3	True
oft → etwa	0.017013255682329700	Graubünden	3/3	True
legenden → legende	0.017013255682329700	Graubünden	3/3	True
ich → hanni	0.017013255682329700	Graubünden	3/3	True
sei → soll	0.017013255682329700	Graubünden	3/3	True
oft → öfters	0.017013255682329700	Graubünden	3/3	True
kann → kennt	0.017013255682329700	Graubünden	3/3	True
stande → zustande	0.017013255682329700	Graubünden	3/3	True
entzieht → entzücht	0.017013255682329700	Graubünden	3/3	True
wandte → gewendet	0.017013255682329700	Graubünden	3/3	True
sind → seien	0.01693265871009840	Bern	13/16	True
