clip_id,src_word_index,target_word_index,is_same_position,position_score,src_word,dat_word,dit_word,dat_lev_sim,dit_lev_sim,dat_combined_weighted,dat_combined_harmonic,dit_combined_weighted,dit_combined_harmonic,dat_advantage,src_len,dat_len,dit_len
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,0,1,0.0,Insgesamt,Insgesamt,Insgesamt,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,1,0,0.125,Insgesamt,habe,habe,0.111,0.111,0.34,0.197,0.34,0.197,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,2,0,0.25,Insgesamt,ich,ich,0.111,0.111,0.303,0.193,0.303,0.193,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,3,0,0.375,Insgesamt,einige,einige,0.333,0.333,0.421,0.434,0.421,0.434,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,4,0,0.5,Insgesamt,100.000,hundert,0.0,0.222,0.15,0.0,0.305,0.307,-0.222,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,5,0,0.625,Insgesamt,Franken,Dusik,0.0,0.111,0.113,0.0,0.19,0.171,-0.111,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,6,0,0.75,Insgesamt,verloren.,vor,0.0,0.0,0.075,0.0,0.075,0.0,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,7,0,0.875,Insgesamt,,und,0.0,0.111,0.038,0.0,0.115,0.118,-0.111,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,8,0,1.0,Insgesamt,,verloren.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,1,0,0,0.125,habe,Insgesamt,Insgesamt,0.111,0.111,0.34,0.197,0.34,0.197,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,1,1,1,0.0,habe,habe,habe,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,1,2,0,0.125,habe,ich,ich,0.0,0.0,0.263,0.0,0.263,0.0,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,1,3,0,0.25,habe,einige,einige,0.167,0.167,0.342,0.273,0.342,0.273,0.0,7,7,9
