clip_id,src_word_index,target_word_index,is_same_position,position_score,src_word,dat_word,dit_word,dat_lev_sim,dit_lev_sim,dat_combined_weighted,dat_combined_harmonic,dit_combined_weighted,dit_combined_harmonic,dat_advantage,src_len,dat_len,dit_len
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,0,1,0.0,Insgesamt,Insgesamt,Insgesamt,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,1,0,0.125,Insgesamt,habe,habe,0.704,0.704,0.755,0.78,0.755,0.78,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,2,0,0.25,Insgesamt,ich,ich,0.704,0.704,0.718,0.726,0.718,0.726,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,3,0,0.375,Insgesamt,einige,einige,0.778,0.778,0.732,0.693,0.732,0.693,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,4,0,0.5,Insgesamt,100.000,hundert,0.667,0.741,0.617,0.572,0.669,0.597,-0.074,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,5,0,0.625,Insgesamt,Franken,Dusik,0.667,0.704,0.579,0.48,0.605,0.489,-0.037,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,6,0,0.75,Insgesamt,verloren.,vor,0.667,0.667,0.542,0.364,0.542,0.364,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,7,0,0.875,Insgesamt,,und,0.667,0.704,0.504,0.211,0.53,0.212,-0.037,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,8,0,1.0,Insgesamt,,verloren.,0.667,0.667,0.467,0.0,0.467,0.0,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,1,0,0,0.125,habe,Insgesamt,Insgesamt,0.704,0.704,0.755,0.78,0.755,0.78,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,1,1,1,0.0,habe,habe,habe,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,1,2,0,0.125,habe,ich,ich,0.852,0.852,0.859,0.863,0.859,0.863,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,1,3,0,0.25,habe,einige,einige,0.815,0.815,0.795,0.781,0.795,0.781,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,1,4,0,0.375,habe,100.000,hundert,0.778,0.815,0.732,0.693,0.758,0.707,-0.037,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,1,5,0,0.5,habe,Franken,Dusik,0.815,0.815,0.72,0.62,0.72,0.62,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,1,6,0,0.625,habe,verloren.,vor,0.741,0.852,0.631,0.498,0.709,0.521,-0.111,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,1,7,0,0.75,habe,,und,0.852,0.852,0.671,0.387,0.671,0.387,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,1,8,0,0.875,habe,,verloren.,0.852,0.741,0.634,0.218,0.556,0.214,0.111,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,2,0,0,0.25,ich,Insgesamt,Insgesamt,0.704,0.704,0.718,0.726,0.718,0.726,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,2,1,0,0.125,ich,habe,habe,0.852,0.852,0.859,0.863,0.859,0.863,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,2,2,1,0.0,ich,ich,ich,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,2,3,0,0.125,ich,einige,einige,0.815,0.815,0.833,0.844,0.833,0.844,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,2,4,0,0.25,ich,100.000,hundert,0.778,0.741,0.77,0.764,0.744,0.745,0.037,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,2,5,0,0.375,ich,Franken,Dusik,0.741,0.815,0.706,0.678,0.758,0.707,-0.074,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,2,6,0,0.5,ich,verloren.,vor,0.704,0.889,0.643,0.585,0.772,0.64,-0.185,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,2,7,0,0.625,ich,,und,0.889,0.889,0.735,0.527,0.735,0.527,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,2,8,0,0.75,ich,,verloren.,0.889,0.704,0.697,0.39,0.568,0.369,0.185,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,3,0,0,0.375,einige,Insgesamt,Insgesamt,0.778,0.778,0.732,0.693,0.732,0.693,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,3,1,0,0.25,einige,habe,habe,0.815,0.815,0.795,0.781,0.795,0.781,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,3,2,0,0.125,einige,ich,ich,0.815,0.815,0.833,0.844,0.833,0.844,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,3,3,1,0.0,einige,einige,einige,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,3,4,0,0.125,einige,100.000,hundert,0.778,0.778,0.807,0.824,0.807,0.824,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,3,5,0,0.25,einige,Franken,Dusik,0.778,0.815,0.77,0.764,0.795,0.781,-0.037,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,3,6,0,0.375,einige,verloren.,vor,0.778,0.778,0.732,0.693,0.732,0.693,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,3,7,0,0.5,einige,,und,0.778,0.815,0.695,0.609,0.72,0.62,-0.037,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,3,8,0,0.625,einige,,verloren.,0.778,0.778,0.657,0.506,0.657,0.506,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,4,0,0,0.5,Hunderttausend,Insgesamt,Insgesamt,0.556,0.556,0.539,0.527,0.539,0.527,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,4,1,0,0.375,Hunderttausend,habe,habe,0.593,0.593,0.603,0.609,0.603,0.609,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,4,2,0,0.25,Hunderttausend,ich,ich,0.481,0.481,0.562,0.586,0.562,0.586,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,4,3,0,0.125,Hunderttausend,einige,einige,0.556,0.556,0.652,0.68,0.652,0.68,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,4,4,1,0.0,Hunderttausend,100.000,hundert,0.481,0.741,0.637,0.65,0.819,0.851,-0.26,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,4,5,0,0.125,Hunderttausend,Franken,Dusik,0.63,0.593,0.704,0.733,0.678,0.707,0.037,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,4,6,0,0.25,Hunderttausend,verloren.,vor,0.63,0.519,0.666,0.685,0.588,0.613,0.111,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,4,7,0,0.375,Hunderttausend,,und,0.481,0.593,0.524,0.544,0.603,0.609,-0.112,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,4,8,0,0.5,Hunderttausend,,verloren.,0.481,0.63,0.487,0.49,0.591,0.558,-0.149,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,5,0,0,0.625,Franken,Insgesamt,Insgesamt,0.667,0.667,0.579,0.48,0.579,0.48,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,5,1,0,0.5,Franken,habe,habe,0.815,0.815,0.72,0.62,0.72,0.62,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,5,2,0,0.375,Franken,ich,ich,0.741,0.741,0.706,0.678,0.706,0.678,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,5,3,0,0.25,Franken,einige,einige,0.778,0.778,0.77,0.764,0.77,0.764,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,5,4,0,0.125,Franken,100.000,hundert,0.741,0.778,0.781,0.802,0.807,0.824,-0.037,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,5,5,1,0.0,Franken,Franken,Dusik,1.0,0.778,1.0,1.0,0.845,0.875,0.222,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,5,6,0,0.125,Franken,verloren.,vor,0.815,0.741,0.833,0.844,0.781,0.802,0.074,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,5,7,0,0.25,Franken,,und,0.741,0.778,0.744,0.745,0.77,0.764,-0.037,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,5,8,0,0.375,Franken,,verloren.,0.741,0.815,0.706,0.678,0.758,0.707,-0.074,7,7,9
