clip_id,word_index,src_word,dat_at_pos,dit_at_pos,dat_possibility,dit_possibility,dat_advantage,is_discrepancy,src_len,dat_len,dit_len,dat_len_ratio,dit_len_ratio
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,0,Insgesamt,Insgesamt,Insgesamt,1.0,1.0,0.0,0,7,7,9,1.0,1.286
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,1,habe,habe,habe,1.0,1.0,0.0,0,7,7,9,1.0,1.286
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,2,ich,ich,ich,1.0,1.0,0.0,0,7,7,9,1.0,1.286
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,3,einige,einige,einige,1.0,1.0,0.0,0,7,7,9,1.0,1.286
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,4,Hunderttausend,100.000,hundert,0.0,0.0,0.0,0,7,7,9,1.0,1.286
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,5,Franken,Franken,Dusik,1.0,0.0,1.0,1,7,7,9,1.0,1.286
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,6,verloren.,verloren.,vor,1.0,0.0,1.0,1,7,7,9,1.0,1.286
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,0,Welche,Wer,Weli,0.0,0.0,0.0,0,8,11,10,1.375,1.25
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,1,Rolle,ironne,"Rolle,",0.0,1.0,-1.0,1,8,11,10,1.375,1.25
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,2,hatte,hättet,höchter,0.0,0.0,0.0,0,8,11,10,1.375,1.25
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,3,Rosenberg,viele,Uz,0.0,0.0,0.0,0,8,11,10,1.375,1.25
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,4,während,bands,stoodhergewerden,0.0,0.0,0.0,0,8,11,10,1.375,1.25
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,5,des,auf,von,0.0,0.0,0.0,0,8,11,10,1.375,1.25
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,6,Holocaust,den,Holocast,0.0,0.0,0.0,0,8,11,10,1.375,1.25
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,7,inne?,einzugemparen,in,0.0,0.0,0.0,0,8,11,10,1.375,1.25
clips\6858a37b-edd0-4fdf-871c-96d3b1bd3e21\82f96cf51a7b4d1239325b81c305870fd7e997b57e21c307560debad119e0417.flac,0,Das,Das,Das,1.0,1.0,0.0,0,8,9,9,1.125,1.125
