pair	TF-IDF	peak region	count
sie → ski	0.02600042915574150	Wallis	43/43
sich → schicht	0.02487629204286160	Wallis	35/35
nichts → nix	0.024213552756936900	Wallis	31/31
hand → hang	0.02295821503266220	Bern	6/6
lassen → lasse	0.022884689314346600	Bern	14/15
habe → heikt	0.02286490424954860	Innerschweiz	5/5
abend → oben	0.022585145037213100	Basel	13/14
erhält → kriegt	0.022217530809928800	Graubünden	19/22
sich → geschichte	0.021540179733029900	Wallis	19/19
beziehungen → bezüchungen	0.021434686383836800	Graubünden	4/4
ziehen → zeichnen	0.021434686383836800	Graubünden	4/4
bekommt → kriegt	0.021152469844911600	Graubünden	8/9
den → der	0.021055233545333500	Graubünden	367/2265
regnete → geregnet	0.020909634146975300	Innerschweiz	4/4
er → heiger	0.020909634146975300	Innerschweiz	4/4
auch → oder	0.020768739522812600	Bern	10/12
dies → hier	0.020684901671743900	Ostschweiz	7/7
nicht → nöd	0.020682307802043600	Zürich	9/17
auch → eure	0.020634330628487600	Innerschweiz	8/49
gedacht → gedeicht	0.020601722973800300	Wallis	16/16
nun → jetzt	0.02024109829363320	Graubünden	281/2158
sparen → ersparen	0.020186167265229700	Zürich	4/4
will → wollt	0.020106166101062300	Bern	9/11
sie → schon	0.019872521631777800	Wallis	14/14
seine → schiene	0.019872521631777800	Wallis	14/14
gerät → grad	0.01976958406464170	Basel	4/4
abends → oben	0.01976958406464170	Basel	4/4
verstehe → verstand	0.01976958406464170	Basel	4/4
gar → gerne	0.01962915924681200	Graubünden	12/24
drückte → ausgedrückt	0.01962384642290410	Bern	4/4
biel → bio	0.01962384642290410	Bern	4/4
fall → v	0.01962384642290410	Bern	4/4
gefunden → gefangen	0.01962384642290410	Bern	4/4
wurde → worden	0.01959040324197890	Graubünden	227/1194
er → a	0.019509290842207600	Basel	8/9
der → eines	0.019467825539818200	Wallis	13/13
seiner → verschiedener	0.019467825539818200	Wallis	13/13
wurden → worden	0.019424799810136000	Graubünden	215/1419
ihren → euren	0.019365472032969200	Bern	8/9
werden → kommen	0.019176401690963600	Graubünden	6/16
lösen → lesen	0.019030720461323500	Wallis	12/12
ihm → nicht	0.018850606606536300	Graubünden	3/3
entzieht → entzücht	0.018850606606536300	Graubünden	3/3
ich → hanni	0.018850606606536300	Graubünden	3/3
coaches → coach	0.018850606606536300	Graubünden	3/3
richters → richter	0.018850606606536300	Graubünden	3/3
fdpfraktion → fraktion	0.018850606606536300	Graubünden	3/3
klären → erklären	0.018850606606536300	Graubünden	3/3
die → diese	0.018836192750366300	Innerschweiz	207/1271
diese → die	0.01879713348758470	Graubünden	175/1236
manche → summe	0.01855556018908340	Wallis	11/11
ihr → sie	0.018525742356534700	Bern	7/8
auch → oh	0.018525742356534700	Bern	7/8
kehrten → sind	0.018388852560420600	Innerschweiz	3/3
keines → keiner	0.018388852560420600	Innerschweiz	3/3
bestehe → besteht	0.018388852560420600	Innerschweiz	3/3
nichts → nie	0.018388852560420600	Innerschweiz	3/3
kätzchen → kätzli	0.018388852560420600	Innerschweiz	3/3
schlossen → haben	0.018388852560420600	Innerschweiz	3/3
aus → ausgestrahlt	0.018388852560420600	Innerschweiz	3/3
trauer → traur	0.018388852560420600	Innerschweiz	3/3
fangemeinde → ferngemeinde	0.018388852560420600	Innerschweiz	3/3
auf → aufgewacht	0.018388852560420600	Innerschweiz	3/3
prozent → 89prozent	0.018388852560420600	Innerschweiz	3/3
strahlte → hat	0.018388852560420600	Innerschweiz	3/3
sind → sollen	0.018322339754499600	Ostschweiz	5/5
des → vom	0.018286182219490600	Graubünden	148/857
deshalb → darum	0.01805149621645900	Innerschweiz	159/1094
aus → ausgelesen	0.018035080999465800	Wallis	10/10
diese → tische	0.018035080999465800	Wallis	10/10
erhielt → gekriegt	0.018008755092527900	Graubünden	9/11
beziehung → bezüge	0.017924047593649700	Graubünden	5/6
beziehung → bezüchung	0.017924047593649700	Graubünden	5/6
bekommen → kriegen	0.017924047593649700	Graubünden	5/6
die → der	0.017795487230243800	Graubünden	126/914
bands → band	0.017752603942809400	Zürich	3/3
gewinnt → geht	0.017752603942809400	Zürich	3/3
bettingen → wettingen	0.017752603942809400	Zürich	3/3
ums → und	0.017752603942809400	Zürich	3/3
fiel → angefallen	0.017752603942809400	Zürich	3/3
flüchteten → flüchten	0.017752603942809400	Zürich	3/3
sei → sage	0.017752603942809400	Zürich	3/3
erregte → erregt	0.017752603942809400	Zürich	3/3
gewinnt → gönnt	0.017752603942809400	Zürich	3/3
eifersucht → einversucht	0.017752603942809400	Zürich	3/3
momentane → momentanen	0.017752603942809400	Zürich	3/3
schrei → schreien	0.017752603942809400	Zürich	3/3
gefeiert → geführt	0.017686728814129900	Basel	6/7
sprache → spruch	0.017686728814129900	Basel	6/7
wohl → auch	0.017608627112487100	Bern	21/26
der → den	0.0175678813381315	Zürich	167/935
menschen → mönche	0.01755634558810980	Bern	6/8
gebracht → gebrungen	0.017484990025270600	Innerschweiz	5/24
viele → eine	0.01745971794884670	Wallis	9/9
ebenfalls → ab	0.01745971794884670	Wallis	9/9
selbst → selber	0.01745253713077110	Innerschweiz	130/693
sie → ihr	0.017438687861946700	Bern	190/414
der → die	0.017429568489118100	Innerschweiz	129/857
schriftlich → schriftliche	0.017386242341218800	Basel	3/3
schickt → geschickt	0.017386242341218800	Basel	3/3
